Emp_no,Employee_Number,Attrition,Business_Travel,Age,CF_age_band,CF_attrition_label,Department,Education_Field,Gender,Job_Role,Marital_Status,Over_Time,Over18,Training_Times_Last_Year,CF_current_Employee,Distance_From_Home,Education_level,Environment_Satisfaction,Daily_Rate,Hourly_Rate,Job_Involvement,Job_Level,Job_Satisfaction,Monthly_Income,Monthly_Rate,Num_Companies_Worked,Percent_Salary_Hike,Performance_Rating,Relationship_Satisfaction,Standard_Hours,Standard_Hours2,Stock_Option_Level,Total_Working_Years,Work_Life_Balance,Years_At_Company,Years_In_Current_Role,Years_Since_Last_Promotion,Years_With_Curr_Manager
STAFF-1863,1863,No,Rarely,46,45 - 54,Current Employees,Sales,Technical Degree,Female,Sales Executive,Divorced,No,Y,5,1,3,Bachelor's Degree,1,1319,45,4,4,1,13225,7739,2,12,3,4,60,42,1,25,3,19,17,2,8
STAFF-1557,1557,No,Rarely,48,45 - 54,Current Employees,Sales,Life Sciences,Female,Sales Executive,Divorced,No,Y,2,1,16,Master's Degree,3,492,96,3,2,3,6439,13693,8,14,3,3,50,86,1,18,3,8,7,7,7
STAFF-1428,1428,No,Rarely,30,25 - 34,Current Employees,Sales,Marketing,Female,Sales Executive,Divorced,No,Y,3,1,7,Master's Degree,4,855,73,3,2,1,4779,12761,7,14,3,2,75,71,2,8,3,3,2,0,2
STAFF-1676,1676,No,Rarely,47,45 - 54,Current Employees,Sales,Life Sciences,Female,Manager,Divorced,No,Y,2,1,2,Master's Degree,2,1225,47,4,4,2,15972,21086,6,14,3,3,50,60,3,29,3,3,2,1,2
STAFF-2041,2041,No,Rarely,38,35 - 44,Current Employees,Sales,Life Sciences,Female,Sales Executive,Married,No,Y,1,1,10,Associates Degree,1,345,100,3,2,4,5343,5982,1,11,3,3,60,66,1,10,3,10,7,1,9
STAFF-2045,2045,No,Rarely,36,35 - 44,Current Employees,Sales,Marketing,Female,Sales Executive,Married,No,Y,2,1,11,Master's Degree,2,1120,100,2,2,4,6652,14369,4,13,3,1,65,54,1,8,2,6,3,0,0
STAFF-2056,2056,No,Rarely,39,35 - 44,Current Employees,Sales,Marketing,Female,Sales Executive,Married,No,Y,2,1,24,High School,2,722,60,2,4,4,12031,8828,0,11,3,1,50,55,1,21,2,20,9,9,6
STAFF-1986,1986,No,Rarely,40,35 - 44,Current Employees,Sales,Marketing,Female,Sales Executive,Married,No,Y,4,1,2,Associates Degree,2,444,92,3,2,2,5677,4258,3,14,3,3,65,61,1,15,3,11,8,5,10
STAFF-1875,1875,No,Rarely,28,25 - 34,Current Employees,Sales,Medical,Female,Sales Representative,Married,No,Y,3,1,3,Bachelor's Degree,2,1172,78,3,1,2,2856,3692,1,19,3,4,75,30,1,1,3,1,0,0,0
STAFF-1527,1527,No,Rarely,46,45 - 54,Current Employees,Sales,Life Sciences,Female,Manager,Married,No,Y,2,1,3,Bachelor's Degree,3,228,51,3,4,2,16606,11380,8,12,3,4,65,54,1,23,4,13,12,5,1
STAFF-1935,1935,No,Rarely,56,Over 55,Current Employees,Sales,Marketing,Female,Sales Executive,Married,No,Y,3,1,11,Doctoral Degree,4,1443,89,2,2,1,5380,20328,4,16,3,3,70,56,1,6,3,0,0,0,0
STAFF-1598,1598,No,Rarely,40,35 - 44,Current Employees,Sales,Life Sciences,Female,Sales Executive,Married,No,Y,2,1,14,Associates Degree,4,118,84,3,2,1,4639,11262,1,15,3,3,55,90,1,5,3,5,4,1,2
STAFF-1784,1784,No,Rarely,31,25 - 34,Current Employees,Sales,Marketing,Female,Sales Executive,Married,No,Y,3,1,29,Master's Degree,1,196,91,2,2,4,5468,13402,1,14,3,1,80,63,2,13,3,12,7,5,7
STAFF-2024,2024,No,Rarely,36,35 - 44,Current Employees,Sales,Medical,Female,Sales Executive,Married,No,Y,2,1,3,Bachelor's Degree,1,557,94,2,3,4,7644,12695,0,19,3,3,80,32,2,10,3,9,7,3,4
STAFF-1673,1673,No,Rarely,31,25 - 34,Current Employees,Sales,Life Sciences,Female,Sales Executive,Married,No,Y,2,1,5,Master's Degree,1,1112,67,3,2,4,5476,22589,1,11,3,1,55,40,2,10,3,10,0,0,2
STAFF-1436,1436,No,Rarely,36,35 - 44,Current Employees,Sales,Marketing,Female,Sales Executive,Married,No,Y,3,1,16,Master's Degree,3,329,98,2,2,1,5647,13494,4,13,3,1,75,37,2,11,2,3,2,0,2
STAFF-2016,2016,No,Rarely,32,25 - 34,Current Employees,Sales,Marketing,Female,Sales Executive,Married,No,Y,3,1,1,Master's Degree,3,801,48,3,3,4,10422,24032,1,19,3,3,60,33,2,14,3,14,10,5,7
STAFF-1898,1898,No,Rarely,27,25 - 34,Current Employees,Sales,Medical,Female,Sales Executive,Single,No,Y,5,1,2,Associates Degree,1,511,89,4,2,3,6500,26997,0,14,3,2,65,85,0,9,2,8,7,0,7
STAFF-1583,1583,No,Rarely,38,35 - 44,Current Employees,Sales,Life Sciences,Female,Sales Executive,Single,No,Y,5,1,16,Bachelor's Degree,2,437,90,3,2,2,4198,16379,2,12,3,2,80,81,0,8,4,3,2,1,2
STAFF-1585,1585,No,Rarely,36,35 - 44,Current Employees,Sales,Life Sciences,Female,Sales Executive,Single,No,Y,5,1,1,Master's Degree,2,884,73,3,2,3,6815,21447,6,13,3,1,60,39,0,15,3,1,0,0,0
STAFF-1657,1657,No,Rarely,20,Under 25,Current Employees,Sales,Medical,Female,Sales Representative,Single,No,Y,3,1,2,Bachelor's Degree,3,1141,31,3,1,3,2783,13251,1,19,3,1,75,65,0,2,3,2,2,2,2
STAFF-1710,1710,No,Rarely,36,35 - 44,Current Employees,Sales,Life Sciences,Female,Sales Representative,Single,No,Y,2,1,2,Master's Degree,3,530,51,3,2,4,4502,7439,3,15,3,3,55,43,0,17,2,13,7,6,7
STAFF-1779,1779,No,Rarely,34,25 - 34,Current Employees,Sales,Life Sciences,Female,Sales Executive,Single,No,Y,3,1,3,Associates Degree,4,511,32,1,2,4,6029,25353,5,12,3,1,55,35,0,6,3,2,2,2,2
STAFF-2060,2060,No,Rarely,26,25 - 34,Current Employees,Sales,Other,Female,Sales Representative,Single,No,Y,2,1,5,Bachelor's Degree,4,1167,30,2,1,3,2966,21378,0,18,3,4,50,39,0,5,3,4,2,0,0
STAFF-2046,2046,No,Rarely,45,45 - 54,Current Employees,Sales,Life Sciences,Female,Sales Executive,Single,No,Y,3,1,20,Bachelor's Degree,4,374,50,3,2,3,4850,23333,8,15,3,3,85,50,0,8,3,5,3,0,1
STAFF-1757,1757,No,Rarely,49,45 - 54,Current Employees,Sales,Marketing,Female,Sales Executive,Single,No,Y,1,1,11,Master's Degree,4,1313,80,3,2,4,4507,8191,3,12,3,3,80,87,0,8,4,5,1,0,4
STAFF-1858,1858,No,No,28,25 - 34,Current Employees,HR,Life Sciences,Male,Human Resources,Divorced,No,Y,2,1,1,Associates Degree,3,280,43,3,1,4,2706,10494,1,15,3,2,80,73,1,3,3,3,2,2,2
STAFF-1805,1805,No,No,38,35 - 44,Current Employees,HR,Human Resources,Male,Human Resources,Divorced,No,Y,3,1,2,Bachelor's Degree,1,1336,100,3,1,2,2592,7129,5,13,3,4,70,86,3,13,3,11,10,3,8
STAFF-1722,1722,No,No,41,35 - 44,Current Employees,HR,Human Resources,Male,Human Resources,Married,No,Y,4,1,4,Bachelor's Degree,3,552,60,1,2,2,6430,20794,6,19,3,2,70,85,1,10,3,3,2,1,2
STAFF-1804,1804,No,No,35,35 - 44,Current Employees,R&D,Medical,Male,Manufacturing Director,Divorced,No,Y,6,1,2,Associates Degree,2,1180,90,3,2,4,5762,24442,2,14,3,3,85,71,1,15,3,7,7,1,7
STAFF-1468,1468,No,No,40,35 - 44,Current Employees,R&D,Medical,Male,Research Director,Divorced,No,Y,5,1,8,High School,4,218,55,2,3,2,13757,25178,2,11,3,3,70,58,1,16,3,9,8,4,8
STAFF-1482,1482,No,No,30,25 - 34,Current Employees,R&D,Technical Degree,Male,Research Scientist,Divorced,No,Y,2,1,7,Bachelor's Degree,3,990,64,3,1,3,1274,7152,1,13,3,2,80,86,2,1,2,1,0,0,0
STAFF-1449,1449,No,No,40,35 - 44,Current Employees,R&D,Other,Male,Laboratory Technician,Divorced,No,Y,2,1,9,Master's Degree,3,663,81,3,2,3,3975,23099,3,11,3,3,60,84,2,11,4,8,7,0,7
STAFF-1771,1771,No,No,33,25 - 34,Current Employees,R&D,Technical Degree,Male,Research Scientist,Divorced,No,Y,2,1,4,Bachelor's Degree,4,775,90,3,2,2,3055,6194,5,15,3,4,75,56,2,11,2,9,8,1,7
STAFF-1994,1994,No,No,33,25 - 34,Current Employees,R&D,Medical,Male,Laboratory Technician,Divorced,No,Y,2,1,1,Associates Degree,2,1313,59,2,1,3,2008,20439,1,12,3,3,55,79,3,1,2,1,1,0,0
STAFF-1934,1934,No,No,47,45 - 54,Current Employees,R&D,Technical Degree,Male,Research Scientist,Married,No,Y,4,1,14,Master's Degree,3,1169,64,3,2,2,5467,2125,8,18,3,3,75,82,1,16,4,8,7,1,7
STAFF-1574,1574,No,No,32,25 - 34,Current Employees,R&D,Technical Degree,Male,Research Scientist,Married,No,Y,3,1,1,Master's Degree,4,1200,62,3,2,1,4087,25174,4,14,3,2,70,78,1,9,2,6,5,1,2
STAFF-1813,1813,No,No,43,35 - 44,Current Employees,R&D,Life Sciences,Male,Research Scientist,Single,No,Y,2,1,9,Bachelor's Degree,1,343,52,3,1,3,2438,24978,4,13,3,3,75,34,0,7,2,3,2,1,2
STAFF-2057,2057,No,No,31,25 - 34,Current Employees,R&D,Medical,Male,Manufacturing Director,Single,No,Y,2,1,5,Bachelor's Degree,2,325,74,3,2,1,9936,3787,0,19,3,2,55,38,0,10,3,9,4,1,7
STAFF-1764,1764,No,No,32,25 - 34,Current Employees,R&D,Technical Degree,Male,Research Scientist,Single,No,Y,3,1,5,Master's Degree,2,953,65,3,1,2,2718,17674,2,14,3,2,75,82,0,12,3,7,7,0,7
STAFF-1471,1471,No,No,44,35 - 44,Current Employees,R&D,Life Sciences,Male,Laboratory Technician,Single,No,Y,5,1,5,Bachelor's Degree,3,981,90,2,1,3,3162,7973,3,14,3,4,70,31,0,7,3,5,2,0,3
STAFF-1947,1947,No,No,28,25 - 34,Current Employees,R&D,Medical,Male,Research Scientist,Single,No,Y,3,1,16,Bachelor's Degree,3,1103,49,3,1,3,2144,2122,1,14,3,3,80,45,0,5,2,5,3,1,4
STAFF-1440,1440,No,No,37,35 - 44,Current Employees,R&D,Technical Degree,Male,Laboratory Technician,Single,No,Y,2,1,5,Associates Degree,3,1413,84,4,1,3,3500,25470,0,14,3,1,70,83,0,7,1,6,5,1,3
STAFF-1976,1976,No,No,42,35 - 44,Current Employees,R&D,Life Sciences,Male,Research Scientist,Single,No,Y,2,1,23,Associates Degree,4,335,37,2,2,3,4332,14811,1,12,3,4,65,72,0,20,3,20,9,3,7
STAFF-2022,2022,No,No,39,35 - 44,Current Employees,R&D,Life Sciences,Male,Manager,Single,No,Y,3,1,9,Bachelor's Degree,4,105,87,3,5,4,19431,15302,2,13,3,3,65,82,0,21,2,6,0,1,3
STAFF-2019,2019,No,No,52,45 - 54,Current Employees,Sales,Life Sciences,Male,Sales Representative,Divorced,No,Y,3,1,29,Master's Degree,1,585,40,3,1,4,3482,19788,2,15,3,2,55,34,2,16,2,9,8,0,0
STAFF-1612,1612,No,No,45,45 - 54,Current Employees,Sales,Marketing,Male,Sales Executive,Married,No,Y,2,1,26,Bachelor's Degree,1,336,52,2,2,1,4385,24162,1,15,3,1,75,31,1,10,3,10,7,4,5
STAFF-1731,1731,No,No,47,45 - 54,Current Employees,Sales,Marketing,Male,Sales Executive,Married,No,Y,3,1,2,Master's Degree,3,543,87,3,2,2,4978,3536,7,11,3,4,80,53,1,4,1,1,0,0,0
STAFF-1801,1801,No,No,46,45 - 54,Current Employees,Sales,Life Sciences,Male,Sales Executive,Single,No,Y,3,1,26,Associates Degree,2,849,98,2,2,2,7991,25166,8,15,3,3,60,87,0,6,3,2,2,2,2
STAFF-1563,1563,No,Frequently,38,35 - 44,Current Employees,HR,Human Resources,Male,Human Resources,Married,No,Y,2,1,10,Master's Degree,3,888,71,3,2,3,6077,14814,3,11,3,3,70,84,0,10,3,6,3,1,2
STAFF-1746,1746,No,Frequently,24,Under 25,Current Employees,HR,Medical,Male,Human Resources,Married,No,Y,2,1,10,Bachelor's Degree,1,897,59,3,1,4,2145,2097,0,14,3,4,70,74,1,3,3,2,2,2,1
STAFF-1590,1590,No,Frequently,29,25 - 34,Current Employees,R&D,Life Sciences,Male,Healthcare Representative,Divorced,No,Y,0,1,2,High School,1,995,87,3,2,4,8853,24483,1,19,3,4,80,53,1,6,4,6,4,1,3
STAFF-1615,1615,No,Frequently,34,25 - 34,Current Employees,R&D,Life Sciences,Male,Manufacturing Director,Divorced,No,Y,3,1,10,Master's Degree,3,426,42,4,2,4,4724,17000,1,13,3,1,60,34,1,9,3,9,7,7,2
STAFF-1485,1485,No,Frequently,34,25 - 34,Current Employees,R&D,Medical,Male,Research Director,Divorced,No,Y,3,1,15,Bachelor's Degree,2,829,71,3,4,1,17007,11929,7,14,3,4,55,70,2,16,2,14,8,6,9
STAFF-1431,1431,No,Frequently,34,25 - 34,Current Employees,R&D,Other,Male,Research Scientist,Divorced,No,Y,2,1,1,Master's Degree,4,560,91,3,1,1,2996,20284,5,14,3,3,55,72,2,10,3,4,3,1,3
STAFF-1653,1653,No,Frequently,25,25 - 34,Current Employees,R&D,Life Sciences,Male,Manufacturing Director,Divorced,No,Y,6,1,2,High School,4,772,77,4,2,3,5206,4973,1,17,3,3,75,60,2,7,3,7,7,0,7
STAFF-1941,1941,No,Frequently,49,45 - 54,Current Employees,R&D,Life Sciences,Male,Research Director,Married,No,Y,3,1,2,High School,2,1064,42,3,5,4,19161,13738,3,15,3,4,55,51,0,28,3,5,4,4,3
STAFF-1852,1852,No,Frequently,29,25 - 34,Current Employees,R&D,Medical,Male,Laboratory Technician,Married,No,Y,3,1,20,High School,4,574,40,3,1,4,3812,7003,1,13,3,2,60,38,0,11,4,11,8,3,10
STAFF-1997,1997,No,Frequently,38,35 - 44,Current Employees,R&D,Life Sciences,Male,Manufacturing Director,Married,No,Y,1,1,6,Master's Degree,1,508,72,2,2,3,5321,14284,2,11,3,4,60,60,1,10,3,8,3,7,7
STAFF-1720,1720,No,Frequently,32,25 - 34,Current Employees,R&D,Life Sciences,Male,Research Scientist,Married,No,Y,3,1,10,Bachelor's Degree,1,585,56,3,1,3,3433,17360,6,13,3,1,55,58,1,10,2,5,2,1,3
STAFF-1918,1918,No,Frequently,26,25 - 34,Current Employees,R&D,Other,Male,Laboratory Technician,Married,No,Y,3,1,6,Bachelor's Degree,3,1096,61,4,1,4,2544,7102,0,18,3,1,60,44,1,8,3,7,7,7,7
STAFF-2061,2061,No,Frequently,36,35 - 44,Current Employees,R&D,Medical,Male,Laboratory Technician,Married,No,Y,3,1,23,Associates Degree,3,884,41,4,2,4,2571,12290,4,17,3,3,55,76,1,17,3,5,2,0,3
STAFF-1597,1597,No,Frequently,34,25 - 34,Current Employees,R&D,Technical Degree,Male,Healthcare Representative,Married,No,Y,3,1,10,Master's Degree,4,653,92,2,2,3,5063,15332,1,14,3,2,75,51,1,8,2,8,2,7,7
STAFF-1668,1668,No,Frequently,38,35 - 44,Current Employees,R&D,Life Sciences,Male,Research Scientist,Married,No,Y,4,1,1,Bachelor's Degree,4,1189,90,3,2,4,4735,9867,7,15,3,4,70,74,2,19,4,13,11,2,9
STAFF-1922,1922,No,Frequently,45,45 - 54,Current Employees,R&D,Medical,Male,Healthcare Representative,Single,No,Y,3,1,1,Master's Degree,2,1297,44,3,2,3,5399,14511,4,12,3,3,85,84,0,12,3,4,2,0,3
STAFF-1412,1412,No,Frequently,35,35 - 44,Current Employees,R&D,Life Sciences,Male,Manufacturing Director,Single,No,Y,2,1,18,Associates Degree,3,200,60,3,3,4,9362,19944,2,11,3,3,60,66,0,10,3,2,2,2,2
STAFF-1648,1648,No,Frequently,27,25 - 34,Current Employees,R&D,Medical,Male,Research Scientist,Single,No,Y,0,1,2,Bachelor's Degree,4,591,87,3,1,4,2580,6297,2,13,3,3,60,64,0,6,2,4,2,1,2
STAFF-1812,1812,No,Frequently,39,35 - 44,Current Employees,Sales,Life Sciences,Male,Sales Executive,Divorced,No,Y,6,1,20,Bachelor's Degree,3,766,83,3,2,4,4127,19188,2,18,3,4,60,86,1,7,3,2,1,2,2
STAFF-1700,1700,No,Frequently,37,35 - 44,Current Employees,Sales,Medical,Male,Sales Executive,Divorced,No,Y,2,1,1,Master's Degree,3,1278,31,1,2,4,9525,7677,1,14,3,3,50,73,2,6,2,6,3,1,3
STAFF-2065,2065,No,Frequently,49,45 - 54,Current Employees,Sales,Medical,Male,Sales Executive,Married,No,Y,3,1,2,Bachelor's Degree,4,1023,63,2,2,2,5390,13243,2,14,3,4,80,79,0,17,2,9,6,0,8
STAFF-1477,1477,No,Frequently,33,25 - 34,Current Employees,Sales,Medical,Male,Sales Executive,Married,No,Y,2,1,7,Bachelor's Degree,4,430,54,3,2,1,4373,17456,0,14,3,1,65,80,2,5,3,4,3,0,3
STAFF-1507,1507,No,Frequently,28,25 - 34,Current Employees,Sales,Life Sciences,Male,Sales Executive,Single,No,Y,5,1,7,Bachelor's Degree,3,467,55,3,2,1,4898,11827,0,14,3,4,75,79,0,5,3,4,2,1,3
STAFF-1613,1613,No,Frequently,31,25 - 34,Current Employees,Sales,Other,Male,Sales Executive,Single,No,Y,3,1,2,Master's Degree,4,715,54,3,2,1,5332,21602,7,13,3,4,80,53,0,10,3,5,2,0,3
STAFF-1853,1853,No,Frequently,32,25 - 34,Current Employees,Sales,Marketing,Male,Sales Executive,Single,No,Y,2,1,10,Master's Degree,4,1318,79,3,2,4,4648,26075,8,13,3,3,70,32,0,4,4,0,0,0,0
STAFF-1794,1794,No,Rarely,37,35 - 44,Current Employees,HR,Other,Male,Human Resources,Divorced,No,Y,4,1,8,Associates Degree,3,1239,89,3,2,2,4071,12832,2,13,3,3,55,53,0,19,2,10,0,4,7
STAFF-1865,1865,No,Rarely,29,25 - 34,Current Employees,HR,Medical,Male,Human Resources,Married,No,Y,3,1,6,High School,4,352,87,2,1,2,2804,15434,1,11,3,4,65,47,0,1,3,1,0,0,0
STAFF-1419,1419,No,Rarely,29,25 - 34,Current Employees,HR,Other,Male,Human Resources,Single,No,Y,3,1,17,Bachelor's Degree,2,332,51,2,3,1,7988,9769,1,13,3,1,60,74,0,10,2,10,9,0,9
STAFF-1778,1778,No,Rarely,43,35 - 44,Current Employees,HR,Life Sciences,Male,Human Resources,Single,No,Y,5,1,2,Bachelor's Degree,2,244,97,3,1,4,3539,5033,0,13,3,2,60,86,0,10,3,9,7,1,8
STAFF-1694,1694,No,Rarely,55,Over 55,Current Employees,R&D,Technical Degree,Male,Research Scientist,Divorced,No,Y,1,1,22,Bachelor's Degree,1,1441,94,2,1,2,3537,23737,5,12,3,4,75,73,1,8,3,4,2,1,2
STAFF-1506,1506,No,Rarely,28,25 - 34,Current Employees,R&D,Life Sciences,Male,Research Scientist,Divorced,No,Y,2,1,1,Bachelor's Degree,1,1423,72,2,1,3,1563,12530,1,14,3,4,50,48,1,1,1,1,0,0,0
STAFF-1892,1892,No,Rarely,40,35 - 44,Current Employees,R&D,Life Sciences,Male,Manager,Divorced,No,Y,3,1,1,Master's Degree,1,1137,98,3,4,1,16823,18991,2,11,3,1,60,42,1,22,3,19,7,11,16
STAFF-1881,1881,No,Rarely,31,25 - 34,Current Employees,R&D,Life Sciences,Male,Laboratory Technician,Divorced,No,Y,2,1,20,Bachelor's Degree,2,311,89,3,2,3,4197,18624,1,11,3,1,60,55,1,10,3,10,8,0,2
STAFF-1627,1627,No,Rarely,39,35 - 44,Current Employees,R&D,Medical,Male,Laboratory Technician,Divorced,No,Y,3,1,3,Associates Degree,3,170,76,2,2,3,3069,10302,0,15,3,4,85,63,1,11,3,10,8,0,7
STAFF-1474,1474,No,Rarely,40,35 - 44,Current Employees,R&D,Medical,Male,Research Scientist,Divorced,No,Y,3,1,2,Bachelor's Degree,3,896,68,3,1,3,2345,8045,2,14,3,3,85,32,1,8,4,3,1,1,2
STAFF-1857,1857,No,Rarely,46,45 - 54,Current Employees,R&D,Life Sciences,Male,Manufacturing Director,Divorced,No,Y,4,1,2,Associates Degree,4,706,82,3,3,4,8578,19989,3,14,3,3,75,84,1,12,2,9,8,4,7
STAFF-1599,1599,No,Rarely,43,35 - 44,Current Employees,R&D,Technical Degree,Male,Laboratory Technician,Divorced,No,Y,0,1,27,Bachelor's Degree,4,990,87,4,1,2,4876,5855,5,12,3,3,55,81,1,8,3,6,4,0,2
STAFF-1940,1940,No,Rarely,38,35 - 44,Current Employees,R&D,Life Sciences,Male,Research Scientist,Divorced,No,Y,0,1,9,Associates Degree,2,1206,71,3,1,4,4771,14293,2,19,3,4,70,65,2,10,4,5,2,0,3
STAFF-1424,1424,No,Rarely,55,Over 55,Current Employees,R&D,Medical,Male,Research Director,Divorced,No,Y,4,1,1,Master's Degree,2,1136,81,4,4,4,14732,12414,2,13,3,4,65,63,2,31,4,7,7,0,0
STAFF-1484,1484,No,Rarely,49,45 - 54,Current Employees,R&D,Life Sciences,Male,Healthcare Representative,Divorced,No,Y,3,1,7,Master's Degree,3,1490,35,3,3,2,10466,20948,3,14,3,2,80,68,2,29,3,8,7,0,7
STAFF-1859,1859,No,Rarely,29,25 - 34,Current Employees,R&D,Life Sciences,Male,Healthcare Representative,Divorced,No,Y,3,1,29,High School,4,726,93,1,2,3,6384,21143,8,17,3,4,65,34,2,11,3,7,0,1,6
STAFF-1619,1619,No,Rarely,27,25 - 34,Current Employees,R&D,Other,Male,Laboratory Technician,Divorced,No,Y,3,1,19,Bachelor's Degree,4,1302,67,2,1,1,4066,16290,1,11,3,1,80,42,2,7,3,7,7,0,7
STAFF-1671,1671,No,Rarely,32,25 - 34,Current Employees,R&D,Medical,Male,Research Scientist,Divorced,No,Y,4,1,2,Bachelor's Degree,4,977,45,3,2,2,5470,25518,0,13,3,3,50,64,2,10,2,9,5,1,6
STAFF-1553,1553,No,Rarely,45,45 - 54,Current Employees,R&D,Technical Degree,Male,Healthcare Representative,Divorced,No,Y,4,1,1,Master's Degree,1,538,66,3,3,2,7441,20933,1,12,3,1,85,34,3,10,3,10,8,7,7
STAFF-1725,1725,No,Rarely,24,Under 25,Current Employees,R&D,Medical,Male,Laboratory Technician,Divorced,No,Y,2,1,29,High School,2,506,91,3,1,1,3907,3622,1,13,3,2,85,79,3,6,4,6,2,1,2
STAFF-1551,1551,No,Rarely,24,Under 25,Current Employees,R&D,Technical Degree,Male,Laboratory Technician,Divorced,No,Y,3,1,21,Associates Degree,3,350,57,2,1,1,2296,10036,0,14,3,2,70,44,3,2,3,1,1,0,0
STAFF-1871,1871,No,Rarely,39,35 - 44,Current Employees,R&D,Other,Male,Research Scientist,Divorced,No,Y,2,1,19,Master's Degree,4,835,41,3,2,4,3902,5141,8,14,3,2,60,81,3,7,3,2,2,2,2
STAFF-2031,2031,No,Rarely,42,35 - 44,Current Employees,R&D,Life Sciences,Male,Manager,Married,No,Y,2,1,2,Bachelor's Degree,1,300,56,3,5,3,18880,17312,5,11,3,1,85,49,0,24,2,22,6,4,14
STAFF-1543,1543,No,Rarely,37,35 - 44,Current Employees,R&D,Medical,Male,Research Scientist,Married,No,Y,2,1,13,Bachelor's Degree,1,674,47,3,2,4,4285,3031,1,17,3,1,80,89,0,10,3,10,8,3,7
STAFF-1434,1434,No,Rarely,27,25 - 34,Current Employees,R&D,Life Sciences,Male,Laboratory Technician,Married,No,Y,3,1,11,High School,2,1377,91,3,1,1,2099,7679,0,14,3,2,75,67,0,6,4,5,0,1,4
STAFF-1621,1621,No,Rarely,35,35 - 44,Current Employees,R&D,Life Sciences,Male,Research Scientist,Married,No,Y,2,1,18,Doctoral Degree,2,819,48,4,2,1,5208,26312,1,11,3,4,60,81,0,16,3,16,15,1,10
STAFF-2068,2068,No,Rarely,34,25 - 34,Current Employees,R&D,Medical,Male,Laboratory Technician,Married,No,Y,3,1,8,Bachelor's Degree,2,628,82,4,2,3,4404,10228,2,12,3,1,70,47,0,6,4,4,3,1,2
STAFF-1689,1689,No,Rarely,53,45 - 54,Current Employees,R&D,Medical,Male,Healthcare Representative,Married,No,Y,2,1,24,Master's Degree,2,1395,48,4,3,4,7005,3458,3,15,3,3,65,53,0,11,3,4,3,1,2
STAFF-1867,1867,No,Rarely,48,45 - 54,Current Employees,R&D,Life Sciences,Male,Research Director,Married,No,Y,3,1,10,Bachelor's Degree,4,1224,91,2,5,2,19665,13583,4,12,3,4,60,43,0,29,3,22,10,12,9
STAFF-1989,1989,No,Rarely,30,25 - 34,Current Employees,R&D,Medical,Male,Laboratory Technician,Married,No,Y,6,1,1,Associates Degree,4,911,76,3,1,2,3748,4077,1,13,3,3,60,88,0,12,2,12,8,1,7
STAFF-1954,1954,No,Rarely,29,25 - 34,Current Employees,R&D,Life Sciences,Male,Healthcare Representative,Married,No,Y,5,1,1,Bachelor's Degree,1,136,89,3,2,1,5373,6225,0,12,3,1,55,56,1,6,2,5,3,0,2
STAFF-1473,1473,No,Rarely,49,45 - 54,Current Employees,R&D,Technical Degree,Male,Healthcare Representative,Married,No,Y,0,1,5,Master's Degree,1,1495,96,3,2,3,6651,21534,2,14,3,2,75,82,1,20,2,3,2,1,2
STAFF-1971,1971,No,Rarely,43,35 - 44,Current Employees,R&D,Life Sciences,Male,Healthcare Representative,Married,No,Y,1,1,11,Bachelor's Degree,1,574,30,3,3,3,7510,16873,1,17,3,2,60,83,1,10,3,10,9,0,9
STAFF-1415,1415,No,Rarely,25,25 - 34,Current Employees,R&D,Technical Degree,Male,Laboratory Technician,Married,No,Y,2,1,1,Bachelor's Degree,1,949,81,3,1,4,3229,4910,4,11,3,2,70,47,1,7,2,3,2,0,2
STAFF-1438,1438,No,Rarely,47,45 - 54,Current Employees,R&D,Technical Degree,Male,Research Scientist,Married,No,Y,2,1,1,Bachelor's Degree,1,465,74,3,1,4,3420,10205,7,12,3,3,60,73,1,17,2,6,5,1,2
STAFF-1826,1826,No,Rarely,35,35 - 44,Current Employees,R&D,Medical,Male,Laboratory Technician,Married,No,Y,2,1,23,Master's Degree,2,185,91,1,1,3,2705,9696,0,16,3,2,80,53,1,6,4,5,4,0,3
STAFF-1609,1609,No,Rarely,30,25 - 34,Current Employees,R&D,Medical,Male,Research Scientist,Married,No,Y,3,1,7,Bachelor's Degree,2,241,48,2,1,2,2141,5348,1,12,3,2,55,64,1,6,2,6,4,1,1
STAFF-1696,1696,No,Rarely,34,25 - 34,Current Employees,R&D,Medical,Male,Laboratory Technician,Married,No,Y,3,1,5,Associates Degree,2,1157,57,2,2,4,3986,11912,1,14,3,3,65,68,1,15,4,15,10,4,13
STAFF-1931,1931,No,Rarely,27,25 - 34,Current Employees,R&D,Technical Degree,Male,Research Scientist,Married,No,Y,3,1,2,Master's Degree,2,1354,41,3,1,2,2226,6073,1,11,3,3,60,80,1,6,2,5,3,1,2
STAFF-1721,1721,No,Rarely,31,25 - 34,Current Employees,R&D,Life Sciences,Male,Laboratory Technician,Married,No,Y,2,1,2,Master's Degree,2,741,69,3,1,3,3477,18103,1,14,3,4,80,35,1,6,4,5,2,0,3
STAFF-1729,1729,No,Rarely,30,25 - 34,Current Employees,R&D,Life Sciences,Male,Research Scientist,Married,No,Y,2,1,16,High School,2,793,33,3,1,4,2862,3811,1,12,3,2,50,74,1,10,2,10,0,0,8
